81 448
95 367 84
196 408 135
298 243 328
340 265 113
362 54 245
42 230 202
45 275 120
36 225 432
367 428 321
63 210 82
369 260 29
111 408 306
105 313 408
51 297 419
408 84 336
15 380 16
337 369 246
440 190 385
246 123 146
220 381 280
202 184 335
285 365 2
199 26 45
406 324 359
102 90 1
399 323 376
67 24 64
246 171 112
73 115 235
246 66 192
342 417 160
88 143 209
308 189 99
368 8 369
179 389 34
335 10 213
357 132 77
438 151 44
144 177 254
77 5 339
419 234 143
401 312 325
437 149 85
437 49 41
350 95 296
191 193 84
373 90 348
7 414 349
443 233 424
366 447 291
135 391 282
431 173 217
182 404 387
28 53 444
117 184 275
115 424 137
296 382 327
19 11 278
315 66 144
320 313 347
369 202 181
133 74 419
244 302 190
152 447 219
56 359 307
208 140 130
53 152 379
33 260 114
149 132 167
408 57 324
69 109 56
405 275 322
280 219 423
261 372 165
300 198 129
266 175 359
171 286 85
32 29 17
175 301 288
101 38 340
91 139 273
